,path
897,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_223_1.wav
898,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_240_0.wav
899,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_41_0.wav
900,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_266_1.wav
901,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_8.wav
902,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_22_1.wav
903,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_342_5.wav
904,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_67_1.wav
905,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_240_2.wav
906,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_119_7.wav
907,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_41_2.wav
908,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_205_2.wav
909,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_384_3.wav
910,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_286_4.wav
911,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_167_1.wav
912,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_87_4.wav
913,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_122_1.wav
914,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_104_2.wav
915,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_65_3.wav
916,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_437_0.wav
917,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_411_3.wav
918,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_141_2.wav
919,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_207_0.wav
920,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_221_3.wav
921,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_43_0.wav
922,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_386_1.wav
923,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_106_0.wav
924,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_198_3.wav
925,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_242_0.wav
926,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_165_3.wav
927,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_143_0.wav
928,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_325_2.wav
929,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_8_2.wav
930,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_435_2.wav
931,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_413_1.wav
932,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_303_1.wav
933,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_346_1.wav
934,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_227_5.wav
935,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_83_0.wav
936,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_282_0.wav
937,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_183_0.wav
938,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_266_13.wav
939,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_408_2.wav
940,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_100_6.wav
941,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_203_4.wav
942,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_246_4.wav
943,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_362_0.wav
944,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_139_2.wav
945,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_344_3.wav
946,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_327_0.wav
947,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_280_2.wav
948,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_39_2.wav
949,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_102_4.wav
950,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_147_4.wav
951,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_147_5.wav
952,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_165_10.wav
953,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_181_2.wav
954,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_102_5.wav
955,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_139_3.wav
956,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_362_1.wav
957,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_344_2.wav
958,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_203_5.wav
959,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_327_1.wav
960,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_183_1.wav
961,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_163_4.wav
962,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_100_7.wav
963,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_266_12.wav
964,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_58_2.wav
965,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_259_2.wav
966,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_346_0.wav
967,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_408_3.wav
968,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_83_1.wav
969,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_227_4.wav
970,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_282_1.wav
971,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_303_0.wav
972,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_413_0.wav
973,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_325_3.wav
974,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_98_2.wav
975,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_165_2.wav
976,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_143_1.wav
977,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_8_3.wav
978,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_106_1.wav
979,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_198_2.wav
980,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_386_0.wav
981,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_43_1.wav
982,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_242_1.wav
983,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_207_1.wav
984,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_411_2.wav
985,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_65_2.wav
986,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_264_2.wav
987,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_221_2.wav
988,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_437_1.wav
989,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_167_0.wav
990,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_240_3.wav
991,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_122_0.wav
992,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_384_2.wav
993,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_22_0.wav
994,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_223_0.wav
995,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_9.wav
996,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_119_6.wav
997,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_266_0.wav
998,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_342_4.wav
999,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_67_0.wav
1000,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_169_2.wav
1001,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_4.wav
1002,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_4_3.wav
1003,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_52_4.wav
1004,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_377_0.wav
1005,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_332_0.wav
1006,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_94_2.wav
1007,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_447_5.wav
1008,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_69_2.wav
1009,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_152_4.wav
1010,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_439_3.wav
1011,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_194_2.wav
1012,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_76_5.wav
1013,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_232_5.wav
1014,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_316_1.wav
1015,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_277_5.wav
1016,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_297_0.wav
1017,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_96_0.wav
1018,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_353_1.wav
1019,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_6_1.wav
1020,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_375_2.wav
1021,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_196_0.wav
1022,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_133_5.wav
1023,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_368_7.wav
1024,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_388_2.wav
1025,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_257_0.wav
1026,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_13_0.wav
1027,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_56_0.wav
1028,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_227_9.wav
1029,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_393_1.wav
1030,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_234_3.wav
1031,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_271_3.wav
1032,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_212_0.wav
1033,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_170_3.wav
1034,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_113_0.wav
1035,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_156_0.wav
1036,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_443_1.wav
1037,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_406_1.wav
1038,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_210_2.wav
1039,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_54_2.wav
1040,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_273_1.wav
1041,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_255_2.wav
1042,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_11_2.wav
1043,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_236_1.wav
1044,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_37_1.wav
1045,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_72_1.wav
1046,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_203_8.wav
1047,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_172_1.wav
1048,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_92_4.wav
1049,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_419_6.wav
1050,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_293_4.wav
1051,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_154_2.wav
1052,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_137_1.wav
1053,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_441_3.wav
1054,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_422_0.wav
1055,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_441_2.wav
1056,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_329_2.wav
1057,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_422_1.wav
1058,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_137_0.wav
1059,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_172_0.wav
1060,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_72_0.wav
1061,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_293_5.wav
1062,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_154_3.wav
1063,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_391_2.wav
1064,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_419_7.wav
1065,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_236_0.wav
1066,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_11_3.wav
1067,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_273_0.wav
1068,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_37_0.wav
1069,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_210_3.wav
1070,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_406_0.wav
1071,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_54_3.wav
1072,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_255_3.wav
1073,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_170_2.wav
1074,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_443_0.wav
1075,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_135_2.wav
1076,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_156_1.wav
1077,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_113_1.wav
1078,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_234_2.wav
1079,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_271_2.wav
1080,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_393_0.wav
1081,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_257_1.wav
1082,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_56_1.wav
1083,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_212_1.wav
1084,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_13_1.wav
1085,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_227_8.wav
1086,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_368_6.wav
1087,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_196_1.wav
1088,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_6_0.wav
1089,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_96_1.wav
1090,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_133_4.wav
1091,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_297_1.wav
1092,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_108_2.wav
1093,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_232_4.wav
1094,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_375_3.wav
1095,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_316_0.wav
1096,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_76_4.wav
1097,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_277_4.wav
1098,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_447_4.wav
1099,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_353_0.wav
1100,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_194_3.wav
1101,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_69_3.wav
1102,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_5.wav
1103,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_439_2.wav
1104,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_332_1.wav
1105,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_377_1.wav
1106,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_169_3.wav
1107,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_4_2.wav
1108,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_7.wav
1109,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_314_2.wav
1110,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_230_4.wav
1111,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_4_0.wav
1112,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_314_0.wav
1113,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_169_1.wav
1114,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_351_0.wav
1115,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_295_1.wav
1116,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_94_1.wav
1117,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_69_1.wav
1118,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_439_0.wav
1119,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_268_1.wav
1120,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_194_1.wav
1121,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_108_0.wav
1122,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_375_1.wav
1123,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_76_6.wav
1124,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_330_1.wav
1125,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_6_2.wav
1126,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_96_3.wav
1127,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_316_2.wav
1128,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_277_6.wav
1129,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_232_6.wav
1130,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_297_3.wav
1131,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_395_4.wav
1132,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_209_0.wav
1133,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_368_4.wav
1134,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_70_0.wav
1135,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_388_1.wav
1136,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_355_4.wav
1137,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_400_4.wav
1138,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_234_0.wav
1139,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_271_0.wav
1140,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_35_0.wav
1141,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_13_3.wav
1142,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_56_3.wav
1143,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_170_0.wav
1144,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_393_2.wav
1145,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_257_3.wav
1146,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_348_1.wav
1147,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_135_0.wav
1148,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_156_3.wav
1149,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_113_3.wav
1150,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_100_9.wav
1151,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_420_1.wav
1152,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_236_2.wav
1153,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_443_2.wav
1154,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_406_2.wav
1155,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_37_2.wav
1156,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_255_1.wav
1157,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_54_1.wav
1158,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_149_4.wav
1159,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_273_2.wav
1160,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_419_5.wav
1161,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_391_0.wav
1162,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_210_1.wav
1163,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_11_1.wav
1164,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_172_2.wav
1165,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_293_7.wav
1166,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_154_1.wav
1167,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_248_4.wav
1168,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_329_0.wav
1169,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_404_1.wav
1170,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_441_0.wav
1171,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_404_0.wav
1172,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_441_1.wav
1173,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_111_0.wav
1174,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_154_0.wav
1175,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_329_1.wav
1176,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_293_6.wav
1177,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_149_5.wav
1178,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_419_4.wav
1179,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_391_1.wav
1180,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_255_0.wav
1181,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_54_0.wav
1182,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_37_3.wav
1183,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_420_0.wav
1184,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_210_0.wav
1185,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_236_3.wav
1186,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_11_0.wav
1187,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_443_3.wav
1188,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_348_0.wav
1189,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_113_2.wav
1190,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_156_2.wav
1191,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_100_8.wav
1192,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_13_2.wav
1193,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_393_3.wav
1194,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_170_1.wav
1195,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_135_1.wav
1196,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_56_2.wav
1197,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_271_1.wav
1198,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_257_2.wav
1199,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_234_1.wav
1200,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_388_0.wav
1201,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_395_5.wav
1202,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_368_5.wav
1203,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_35_1.wav
1204,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_297_2.wav
1205,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_96_2.wav
1206,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_330_0.wav
1207,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_108_1.wav
1208,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_277_7.wav
1209,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_316_3.wav
1210,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_194_0.wav
1211,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_15_4.wav
1212,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_375_0.wav
1213,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_6_3.wav
1214,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_94_0.wav
1215,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_268_0.wav
1216,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_69_0.wav
1217,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_309_4.wav
1218,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_169_0.wav
1219,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_439_1.wav
1220,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_351_1.wav
1221,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_314_1.wav
1222,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_295_0.wav
1223,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_332_2.wav
1224,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_377_2.wav
1225,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_4_1.wav
1226,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_439_5.wav
1227,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_6.wav
1228,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_17_2.wav
1229,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_326_11.wav
1230,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_189_1.wav
1231,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_216_2.wav
1232,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_52_2.wav
1233,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_31_1.wav
1234,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_230_1.wav
1235,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_253_2.wav
1236,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_74_1.wav
1237,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_447_3.wav
1238,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_288_1.wav
1239,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_89_1.wav
1240,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_424_0.wav
1241,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_402_3.wav
1242,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_152_2.wav
1243,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_131_1.wav
1244,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_309_0.wav
1245,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_174_1.wav
1246,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_251_0.wav
1247,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_15_0.wav
1248,CSW/empathy/MaSaC empathy detection/train/train_1/audios/train_395_1.wav
